code,tin,name_ru
AN-224051,203003114,Бозорбоши
AN-224052,203002923,Нeъматобод
AN-224053,203003146,Чек
AN-224055,203003430,Ниязботир
AN-224057,203003201,Навоий
AN-224058,203002979,Ергашобод
AN-224059,203003447,Мехнатобод
AN-224060,203003161,Кайрагоч
AN-224061,203003375,Тувадок
AN-224062,203003383,Файз
AN-224063,203003225,Унгут
AN-224064,203028731,Аргин
AN-224066,203003390,Тоштепа
AN-224068,203003415,Навкан
AN-224069,203003139,Конгирот
AN-224070,203003336,Мирзаобод
AN-224071,203003344,Окбойра
AN-224072,203003368,Елашкипчок
AN-224073,203003351,Намуна-бустон
AN-224074,203003329,Фаровон
AN-17020050,203002962,Саидобод
AN-17020039,202694451,Мукими
AN-17020077,309300269,Навбахор
AN-17020021,202718640,Абу Али Ибн Сино
AN-17020029,203003233,Беклар
AN-17020075,309181133,Юкори кужган
AN-17020076,309300094,Мустахкам
AN-17020018,203003408,Дурман
AN-17020014,203003074,Ганчиюз
AN-17020064,203003312,Хонака
AN-17020060,203002930,Файзиобод
AN-17020063,202718689,Хамдустлик
AN-17020068,203003272,Шоркишлок
AN-227001,203055232,Узбекистон
AN-227002,202987767,Турон
AN-227003,202974522,Навроз
AN-227004,202980666,Дукчи Эшон
AN-227005,203055264,Мингтепа
AN-227006,202974499,Гулистон
AN-227007,202981356,Кончилар
AN-227008,202981349,Марказий
AN-227009,202980659,Пахтакор
AN-227010,203055493,Ровот
AN-227012,202987799,Шоркакир
AN-227013,202995568,Шоркишлок
AN-227014,202977218,Кушчи
AN-227015,203024745,Гар-гар
AN-227016,202974546,Тош йули
AN-227017,205642735,Увайсий
AN-227018,202987244,Бозорбоши
AN-227020,203055288,Ойбек
AN-227021,202980627,Ерши
AN-227022,202987774,Алитепа
AN-227023,202977233,Чилон
AN-227024,202980634,Кутарма
AN-227025,205642743,Миришкор
AN-227026,202990883,Шахристон
AN-227027,202995551,Бархаёт
AN-227028,202974514,Коракоргон
AN-227029,202974450,Окбош
AN-227031,202990890,Шомат
AN-227032,202988464,Тулга
AN-227033,202977257,Узумзор
AN-227034,203055249,Дурафшон
AN-227035,202982362,Полвонтош
AN-227036,202980642,Юкори ровот
AN-227037,202977225,Укчи
AN-227039,202974482,Найман
AN-227040,202977240,Янгихаёт
AN-227041,202974561,Бобохуросон
AN-227042,202974578,Когонча
AN-227043,202990875,Тошлок
AN-227044,202974507,Корабогич
AN-227045,202987782,Рохат
AN-227046,202974554,Ковунчи
AN-227047,202982354,Дустлик
AN-227048,202995544,Йуламатол
AN-17080040,202974467,Хужаарик
AN-17080039,203055518,Хасанмeрган
AN-17080007,202974474,Гофур Гулом
