code,deleted
TK-262015,true
TK-262029,true
TK-262040,true
TK-262055,true
TK-264002,true
TK-264008,true
TK-264010,true
TK-264012,true
TK-264013,true
TK-266005,true
TK-266016,true
TK-266022,true
TK-266023,true
TK-266043,true
TK-266044,true
TK-266052,true
TK-266063,true
TK-269025,true
TK-269038,true
TK-269045,true
TK-269052,true
TK-269054,true
TK-273011,true
TK-273019,true
TK-273037,true
TK-273039,true
TK-277008,true
TK-277022,true
TK-277031,true
TK-277033,true
TK-277044,true
TK-277045,true
TK-280023,true
TK-280026,true
TK-280042,true
TK-280059,true
TK-280060,true
TK-283009,true
TK-283011,true
TK-283014,true
TK-283018,true
TK-283019,true
TK-283020,true
TK-283021,true
TK-283022,true
TK-283043,true
TK-283044,true
TK-287009,true
TK-287017,true
TK-290015,true
TK-290037,true
TK-292017,true
TK-292027,true
TK-292040,true
TK-292044,true
TK-292045,true
TK-292049,true
TK-294037,true
TO-206001,true
TO-206013,true
TO-206014,true
TO-206019,true
TO-206028,true
TO-206029,true
TO-212008,true
TO-212024,true
TO-212028,true
TO-220001,true
TO-220040,true
TO-220042,true
TO-224001,true
TO-224002,true
TO-224008,true
TO-224012,true
TO-224021,true
TO-224025,true
TO-224028,true
TO-224034,true
TO-224045,true
TO-224046,true
TO-224054,true
TO-224056,true
TO-228001,true
TO-228007,true
TO-228011,true
TO-228020,true
TO-228028,true
TO-228029,true
TO-228031,true
TO-228033,true
TO-228035,true
TO-228042,true
TO-233001,true
TO-233002,true
TO-233017,true
TO-233019,true
TO-233034,true
TO-237002,true
TO-237005,true
TO-237006,true
TO-237019,true
TO-237024,true
TO-237026,true
TO-237033,true
TO-237037,true
TO-237038,true
TO-237040,true
TO-237041,true
TO-237042,true
TO-237044,true
TO-237045,true
TO-237047,true
TO-237051,true
TO-237052,true
TO-237053,true
TO-237054,true
TO-237055,true
TO-237056,true
TO-237057,true
TO-237058,true
TO-237059,true
TO-237060,true
TO-237061,true
TO-237062,true
TO-237063,true
TO-237064,true
TO-237065,true
TO-237081,true
TO-237086,true
TO-239003,true
TO-239006,true
TO-239014,true
TO-239015,true
TO-239021,true
TO-239022,true
TO-239026,true
TO-239027,true
TO-239032,true
TO-239036,true
TO-239039,true
TO-239041,true
TO-239042,true
TO-239046,true
TO-248004,true
TO-248011,true
TO-248013,true
TO-248023,true
TO-248029,true
TO-248030,true
TO-248031,true
TO-248032,true
TO-248033,true
TO-248034,true
TO-248035,true
TO-248036,true
TO-248037,true
TO-248038,true
TO-248039,true
TO-248040,true
TO-248041,true
TO-248042,true
TO-248043,true
TO-248044,true
TO-248045,true
TO-248047,true
TO-248048,true
TO-248049,true
TO-248052,true
TO-248059,true
TO-248062,true
TO-248067,true
TO-248072,true
TO-248074,true
TO-248080,true
TO-248083,true
TO-248085,true
TO-248086,true
TO-249001,true
TO-249006,true
TO-249014,true
TO-249024,true
TO-249032,true
TO-249033,true
TO-249038,true
TO-249040,true
TO-249043,true
TO-249046,true
TO-249049,true
TO-249050,true
TO-249053,true
TO-250002,true
TO-250005,true
TO-250006,true
TO-250014,true
TO-250020,true
TO-250021,true
TO-253001,true
TO-253002,true
TO-253003,true
TO-253005,true
TO-253006,true
TO-253007,true
TO-253008,true
TO-253009,true
TO-253010,true
TO-253015,true
